source,titre,prix_eur,surface_m2,quartier,type_bien,description,url,date_scrape
SeLoger,1 / 5 A 289 000 € 7 049 €/m² Découvrez les options de financement Appartement à vendre - neuf 2 pièces · 1 chambre · 41 m² · dès le 30/09/2027 Programme Neuf Ca,289000.0,41.0,,Appartement,,https://www.selogerneuf.com/annonces/neuf/programme/toulon-83/253691585/?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&unitId=260292485&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,1 / 4 A 393 000 € 6 046 €/m² Découvrez les options de financement Appartement à vendre - neuf 3 pièces · 2 chambres · 65 m² · dès le 30/09/2027 Programme Neuf C,393000.0,65.0,,Appartement,,https://www.selogerneuf.com/annonces/neuf/programme/toulon-83/253691585/?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&unitId=260294405&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 9 D 120 000 € 2 612 €/m² Découvrez les options de financement Appartement à vendre 2 pièces · 1 chambre · 46 m² · 1er étage La Roseraie, Toulon (83100) Excl",120000.0,46.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/la-roseraie/257809399.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,1 / 13 Nouveau D 310 000 € 4 429 €/m² Découvrez les options de financement Maison à vendre 4 pièces · 3 chambres · 70 m² · 173 m² de terrain Toulon (83000) Excl,310000.0,70.0,,Maison,,https://www.seloger.com/annonces/achat/maison/toulon-83/262527107.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 13 A 235 400 € 4 359 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 54 m² · Étage 1/6 Brunet, Toulon (83100) Exclusi",235400.0,54.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/brunet/261629789.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 8 C 115 000 € 5 180 €/m² Découvrez les options de financement Appartement à vendre 1 pièce · 22,2 m² · RDC/2 Saint Roch, Toulon (83000) ACOR'IMMO",115000.0,22.2,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/saint-roch/261715439.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 11 D 171 200 € 3 191 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 53,7 m² · Étage 4/12 Aguillon, Toulon (83000) AC",171200.0,53.7,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/aguillon/261302373.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 10 C 369 000 € 4 731 €/m² Découvrez les options de financement Appartement à vendre 3 pièces · 2 chambres · 78 m² · Étage 2/2 La Serinette, Toulon (83000) C",369000.0,78.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/la-serinette/242995883.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 10 D 199 900 € 2 897 €/m² Découvrez les options de financement Appartement à vendre 4 pièces · 3 chambres · 69 m² · Étage 4/4 Les Routes, Toulon (83200) CAS",199900.0,69.0,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/les-routes/261312257.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
SeLoger,"1 / 11 C 318 000 € 3 164 €/m² Investissez dans l'immobilier Appartement à vendre 5 pièces · 4 chambres · 100,5 m² · Étage 2/7 Mourillon-Centre, Toulon (83000) A",318000.0,100.5,,Appartement,,https://www.seloger.com/annonces/achat/appartement/toulon-83/mourillon-centre/261302369.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,2026-03-09T15:42:45.427987+00:00
