date_mutation,nature_mutation,valeur_fonciere,prix_m2,code_postal,nom_commune,code_departement,code_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
2024-01-02,Vente,712600.0,4267.065868263473,83200,TOULON,83,83137,Maison,167,4,162.0
2024-01-03,Vente,115000.0,1916.6666666666667,83200,TOULON,83,83137,Appartement,60,3,
2024-01-03,Vente,121000.0,1805.9701492537313,83100,TOULON,83,83137,Appartement,67,3,
2024-01-04,Vente,1300000.0,8666.666666666666,83000,TOULON,83,83137,Appartement,150,5,
2024-01-04,Vente,140000.0,3043.478260869565,83000,TOULON,83,83137,Appartement,46,2,
2024-01-04,Vente,190000.0,1900.0,83200,TOULON,83,83137,Appartement,100,4,
2024-01-04,Vente,35000.0,1521.7391304347825,83100,TOULON,83,83137,Appartement,23,1,
2024-01-04,Vente,195000.0,1989.795918367347,83000,TOULON,83,83137,Appartement,98,5,
2024-01-04,Vente,80000.0,2000.0,83000,TOULON,83,83137,Appartement,40,2,
2024-01-04,Vente,190000.0,3166.6666666666665,83100,TOULON,83,83137,Appartement,60,3,
2024-01-04,Vente,289000.0,2627.2727272727275,83000,TOULON,83,83137,Appartement,110,4,
2024-01-04,Vente,32000.0,1333.3333333333333,83200,TOULON,83,83137,Appartement,24,1,
2024-01-05,Vente,95000.0,1484.375,83000,TOULON,83,83137,Appartement,64,3,
2024-01-05,Vente,150000.0,1875.0,83200,TOULON,83,83137,Appartement,80,5,
2024-01-05,Vente,108000.0,4695.652173913043,83000,TOULON,83,83137,Appartement,23,1,
2024-01-05,Vente,120000.0,1714.2857142857142,83200,TOULON,83,83137,Appartement,70,4,
2024-01-05,Vente,266500.0,3331.25,83000,TOULON,83,83137,Appartement,80,3,
2024-01-05,Vente,75000.0,1875.0,83200,TOULON,83,83137,Appartement,40,2,
2024-01-05,Vente,70000.0,1750.0,83200,TOULON,83,83137,Appartement,40,2,
2024-01-05,Vente,175750.0,2746.09375,83200,TOULON,83,83137,Appartement,64,3,
2024-01-05,Vente,113000.0,2306.122448979592,83000,TOULON,83,83137,Appartement,49,2,
2024-01-05,Vente,250000.0,3571.4285714285716,83200,TOULON,83,83137,Maison,70,4,455.0
2024-01-08,Vente,195000.0,3250.0,83200,TOULON,83,83137,Appartement,60,4,
2024-01-08,Vente,239500.0,3862.9032258064517,83000,TOULON,83,83137,Appartement,62,2,
2024-01-08,Vente,695700.0,4488.387096774193,83000,TOULON,83,83137,Maison,155,6,1475.0
2024-01-08,Vente,480335.0,5109.946808510638,83200,TOULON,83,83137,Maison,94,4,346.0
2024-01-08,Vente,137850.0,3446.25,83000,TOULON,83,83137,Appartement,40,2,
2024-01-08,Vente,260000.0,3661.9718309859154,83000,TOULON,83,83137,Appartement,71,3,
2024-01-08,Vente,397000.0,5089.74358974359,83000,TOULON,83,83137,Appartement,78,4,
2024-01-08,Vente,647500.0,8993.055555555555,83000,TOULON,83,83137,Appartement,72,3,693.0
2024-01-08,Vente,258000.0,3909.090909090909,83200,TOULON,83,83137,Maison,66,3,1000.0
2024-01-08,Vente,162000.0,5586.206896551724,83200,TOULON,83,83137,Appartement,29,2,
2024-01-08,Vente,317570.0,6616.041666666667,83000,TOULON,83,83137,Maison,48,3,88.0
2024-01-08,Vente,117000.0,2166.6666666666665,83100,TOULON,83,83137,Appartement,54,3,
2024-01-08,Vente,278000.0,4276.923076923077,83000,TOULON,83,83137,Maison,65,3,210.0
2024-01-08,Vente,87400.0,2362.162162162162,83000,TOULON,83,83137,Appartement,37,2,
2024-01-08,Vente,222000.0,3264.705882352941,83000,TOULON,83,83137,Appartement,68,3,
2024-01-08,Vente,122000.0,1525.0,83200,TOULON,83,83137,Appartement,80,4,
2024-01-09,Vente,577400.0,5109.734513274337,83000,TOULON,83,83137,Appartement,113,6,
2024-01-09,Vente,865250.0,5181.137724550898,83000,TOULON,83,83137,Maison,167,7,415.0
2024-01-09,Vente,163500.0,2477.2727272727275,83100,TOULON,83,83137,Appartement,66,4,
2024-01-09,Vente,204120.0,3240.0,83000,TOULON,83,83137,Appartement,63,3,
2024-01-09,Vente,114300.0,3265.714285714286,83000,TOULON,83,83137,Appartement,35,1,
2024-01-09,Vente,174000.0,2949.1525423728813,83000,TOULON,83,83137,Appartement,59,3,
2024-01-09,Vente,81000.0,2131.5789473684213,83200,TOULON,83,83137,Appartement,38,2,
2024-01-09,Vente,305000.0,4236.111111111111,83200,TOULON,83,83137,Appartement,72,3,
2024-01-10,Vente,192100.0,2462.8205128205127,83000,TOULON,83,83137,Appartement,78,3,
2024-01-10,Vente,135000.0,2410.714285714286,83000,TOULON,83,83137,Appartement,56,3,
2024-01-10,Vente,102400.0,2844.4444444444443,83000,TOULON,83,83137,Appartement,36,2,
2024-01-10,Vente,65000.0,1444.4444444444443,83200,TOULON,83,83137,Appartement,45,3,
2024-01-10,Vente,273500.0,3695.945945945946,83000,TOULON,83,83137,Appartement,74,4,
2024-01-11,Vente,480000.0,5454.545454545455,83100,TOULON,83,83137,Maison,88,4,345.0
2024-01-11,Vente,297000.0,4013.5135135135133,83200,TOULON,83,83137,Maison,74,3,74.0
2024-01-11,Vente,226000.0,2627.906976744186,83200,TOULON,83,83137,Appartement,86,4,
2024-01-11,Vente,188000.0,4820.51282051282,83200,TOULON,83,83137,Appartement,39,2,
2024-01-11,Vente,128000.0,2000.0,83200,TOULON,83,83137,Appartement,64,3,
2024-01-11,Vente,141500.0,1992.9577464788733,83200,TOULON,83,83137,Appartement,71,4,
2024-01-11,Vente,354000.0,4164.705882352941,83000,TOULON,83,83137,Appartement,85,3,
2024-01-11,Vente,70000.0,1206.896551724138,83100,TOULON,83,83137,Appartement,58,3,
2024-01-12,Vente,154250.0,2302.2388059701493,83200,TOULON,83,83137,Appartement,67,3,
